Nr,X,Y
1,5537061.10,7471638.12
2,5537062.42,7471634.46
3,5537063.52,7471630.13
4,5537064.75,7471625.34
5,5537065.55,7471623.05
6,5537062.78,7471639.08
7,5537064.89,7471634.31
8,5537065.16,7471632.02
9,5537066.03,7471629.78
10,5537066.28,7471626.79
11,5537066.62,7471623.67
12,5537067.35,7471623.62
13,5537067.05,7471622.12
14,5537064.91,7471639.14
15,5537066.53,7471635.13
16,5537067.23,7471632.39
17,5537067.34,7471630.42
18,5537068.23,7471627.06
19,5537068.70,7471624.42
20,5537068.07,7471621.33
21,5537069.34,7471621.91
22,5537067.25,7471638.94
23,5537068.23,7471635.20
24,5537069.13,7471633.07
25,5537069.44,7471630.52
26,5537069.52,7471628.21
27,5537069.81,7471625.60
28,5537071.16,7471621.85
29,5537068.87,7471639.08
30,5537070.87,7471639.14
31,5537070.85,7471636.85
32,5537071.11,7471634.61
33,5537070.46,7471632.74
34,5537071.59,7471633.33
35,5537070.76,7471630.11
36,5537072.23,7471630.82
37,5537071.25,7471628.47
38,5537072.57,7471625.51
39,5537072.74,7471623.94
40,5537072.92,7471622.40
41,5537072.01,7471639.88
42,5537072.26,7471638.81
43,5537073.68,7471627.22
44,5537074.17,7471623.78
45,5537076.39,7471621.42
46,5537073.17,7471639.56
47,5537074.17,7471634.64
48,5537074.41,7471632.22
49,5537075.06,7471628.44
50,5537076.02,7471626.17
51,5537074.58,7471638.64
52,5537076.26,7471638.59
53,5537076.50,7471636.08
54,5537076.25,7471633.77
55,5537076.55,7471630.92
56,5537076.57,7471627.66
56,5537077.38,7471625.42
57,5537078.40,7471622.42
58,5537076.91,7471640.43
59,5537077.53,7471638.23
60,5537079.29,7471636.51
61,5537078.73,7471641.58
62,5537079.52,7471638.38
64,5537078.43,7471634.53
65,5537078.11,7471630.97
66,5537077.62,7471628.43
67,5537079.63,7471631.18
68,5537078.93,7471627.95
69,5537080.05,7471621.44
70,5537078.93,7471624.92
71,5537081.36,7471623.06
72,5537081.27,7471621.77
73,5537079.91,7471641.59
74,5537080.77,7471638.12
75,5537080.45,7471634.90
76,5537079.54,7471634.71
77,5537080.73,7471631.85
78,5537082.11,7471633.21
79,5537082.43,7471629.96
80,5537081.60,7471627.84
81,5537080.19,7471628.35
82,5537081.83,7471625.23
83,5537083.17,7471627.17
84,5537083.61,7471625.49
85,5537083.37,7471622.82
86,5537088.99,7471625.03
87,5537085.21,7471628.30
88,5537086.82,7471628.74
89,5537082.84,7471645.12
90,5537083.37,7471645.13
91,5537081.41,7471640.88
93,5537082.08,7471636.38
94,5537082.23,7471627.11
95,5537083.63,7471630.78
96,5537083.37,7471633.54
97,5537082.90,7471635.51
98,5537083.00,7471637.30
99,5537083.47,7471639.16
100,5537082.86,7471642.70
101,5537083.94,7471641.73
102,5537085.66,7471644.44
103,5537085.04,7471635.80
104,5537084.40,7471631.14
105,5537086.59,7471636.56
106,5537087.36,7471640.78
107,5537091.28,7471639.07
108,5537087.74,7471632.96
109,5537087.55,7471630.93
110,5537088.10,7471628.90
111,5537090.31,7471644.89
112,5537089.39,7471640.98
113,5537088.94,7471635.73
114,5537089.37,7471633.01
115,5537088.41,7471630.53
116,5537088.87,7471628.07
117,5537089.73,7471628.25
118,5537089.37,7471630.00
119,5537087.62,7471644.25
119,5537090.87,7471641.26
120,5537092.66,7471641.34
122,5537090.75,7471633.95
123,5537091.95,7471634.11
124,5537090.95,7471631.54
125,5537090.58,7471628.35
126,5537091.19,7471628.31
127,5537091.53,7471625.36
129,5537091.78,7471644.76
130,5537092.87,7471645.39
132,5537093.87,7471638.59
133,5537091.66,7471635.67
134,5537093.72,7471636.16
135,5537095.39,7471633.35
136,5537093.10,7471628.37
137,5537092.20,7471631.16
138,5537093.20,7471623.31
139,5537093.20,7471625.48
140,5537095.78,7471624.02
141,5537094.60,7471624.98
142,5537098.08,7471622.38
143,5537099.30,7471623.21
144,5537100.46,7471623.84
145,5537101.24,7471624.10
146,5537102.55,7471624.81
147,5537100.16,7471626.13
148,5537098.65,7471626.41
150,5537094.14,7471633.62
150,5537094.16,7471628.54
151,5537093.33,7471631.25
152,5537095.00,7471629.20
153,5537096.50,7471626.57
154,5537094.91,7471631.37
155,5537096.20,7471630.73
156,5537098.88,7471630.02
157,5537100.49,7471629.83
158,5537100.89,7471631.29
159,5537098.76,7471633.12
160,5537097.67,7471632.66
161,5537096.29,7471632.99
162,5537097.25,7471635.76
163,5537095.20,7471635.72
164,5537098.11,7471636.05
165,5537099.11,7471636.38
166,5537098.80,7471638.31
167,5537096.98,7471640.80
168,5537096.11,7471641.76
169,5537095.02,7471640.37
170,5537094.44,7471644.34
171,5537096.04,7471644.27
172,5537098.35,7471644.36
173,5537099.86,7471645.44
174,5537104.15,7471645.17
175,5537104.56,7471642.86
176,5537102.72,7471642.97
177,5537103.63,7471640.10
178,5537105.16,7471640.23
179,5537098.64,7471642.14
180,5537101.35,7471637.79
181,5537099.75,7471640.66
182,5537102.11,7471635.85
183,5537106.34,7471637.79
184,5537103.44,7471634.31
185,5537100.27,7471637.46
186,5537101.22,7471633.16
187,5537102.26,7471632.52
188,5537101.40,7471631.83
189,5537103.25,7471628.90
190,5537105.73,7471628.50
191,5537106.57,7471630.17
192,5537108.15,7471630.41
193,5537106.63,7471635.51
194,5537107.22,7471634.06
195,5537107.76,7471632.86
196,5537106.71,7471632.76
197,5537100.60,7471643.00
198,5537100.69,7471634.91
199,5537090.76,7471636.26
201,5537101.09,7471627.79
200,5537099.80,7471627.62
202,5537095.46,7471627.16
